Date,Open,High,Low,Close,Adj Close,Volume
2023-02-14,21235.919922,21237.880859,21074.939453,21113.759766,21113.759766,1408732200
2023-02-15,21116.839844,21117.580078,20726.830078,20812.169922,20812.169922,2143024200
2023-02-16,20947.070313,21306.539063,20887.699219,20987.669922,20987.669922,2180463800
2023-02-17,20958.630859,21056.679688,20703.740234,20719.810547,20719.810547,1631650800
2023-02-20,20681.470703,20973.669922,20606.849609,20886.960938,20886.960938,1915367500
2023-02-21,20859.500000,20941.300781,20503.050781,20529.490234,20529.490234,2004601100
2023-02-22,20512.490234,20620.980469,20344.859375,20423.839844,20423.839844,1766388300
2023-02-23,20339.150391,20601.220703,20323.240234,20351.349609,20351.349609,1729748400
2023-02-24,20223.669922,20233.640625,20006.779297,20010.039063,20010.039063,2061880100
2023-02-27,19821.029297,20086.529297,19804.560547,19943.509766,19943.509766,1897627300
2023-02-28,20020.169922,20185.050781,19783.070313,19785.939453,19785.939453,2751875300
2023-03-01,19849.970703,20674.070313,19849.970703,20619.710938,20619.710938,2889639700
2023-03-02,20390.019531,20548.570313,20321.250000,20429.460938,20429.460938,1992565500
2023-03-03,20703.140625,20727.250000,20498.160156,20567.539063,20567.539063,2226145400
2023-03-06,20437.869141,20702.750000,20410.000000,20603.189453,20603.189453,2485355800
2023-03-07,20606.830078,21005.660156,20358.779297,20534.480469,20534.480469,3634829700
2023-03-08,20256.890625,20269.929688,19969.470703,20051.250000,20051.250000,2643542900
2023-03-09,20082.419922,20157.240234,19907.580078,19925.740234,19925.740234,2193340400
2023-03-10,19580.779297,19637.720703,19281.970703,19319.919922,19319.919922,3587989800
2023-03-13,19411.880859,19791.640625,19390.380859,19695.970703,19695.970703,3133740000
2023-03-14,19524.509766,19639.519531,19122.820313,19247.960938,19247.960938,3027393700
2023-03-15,19523.490234,19745.439453,19431.089844,19539.869141,19539.869141,2633910800
2023-03-16,19197.970703,19388.769531,19109.070313,19203.910156,19203.910156,3047393400
2023-03-17,19439.839844,19597.179688,19303.289063,19518.589844,19518.589844,4332277000
2023-03-20,19352.900391,19382.970703,18829.109375,19000.710938,19000.710938,2839042600
2023-03-21,19118.869141,19295.640625,19018.099609,19258.759766,19258.759766,1929683800
2023-03-22,19428.359375,19775.689453,19428.359375,19591.429688,19591.429688,2364133200
2023-03-23,19619.740234,20051.259766,19523.500000,20049.640625,20049.640625,2531213200
2023-03-24,19919.650391,20118.289063,19834.449219,19915.679688,19915.679688,2306894000
2023-03-27,19851.789063,19938.769531,19509.490234,19567.689453,19567.689453,2503607400
2023-03-28,19688.310547,19875.109375,19559.470703,19784.650391,19784.650391,1935094200
2023-03-29,20348.640625,20437.689453,20107.730469,20192.400391,20192.400391,2597427400
2023-03-30,20216.789063,20320.019531,20017.169922,20309.130859,20309.130859,2981984600
2023-03-31,20583.880859,20721.970703,20357.410156,20400.109375,20400.109375,3044982800
2023-04-03,20379.500000,20475.429688,20226.949219,20409.179688,20409.179688,2651152300
2023-04-04,20364.359375,20364.359375,20126.900391,20274.589844,20274.589844,2415282800
2023-04-06,20146.220703,20343.859375,20099.480469,20331.199219,20331.199219,2143238700
2023-04-11,20566.589844,20750.730469,20293.369141,20485.240234,20485.240234,3064229800
