Date,Open,High,Low,Close,Adj Close,Volume
2023-06-26,24.340000,25.280001,23.580000,23.809999,23.809999,0
2023-06-27,23.160000,23.570000,22.690001,22.950001,22.950001,0
2023-06-28,22.920000,22.920000,21.959999,22.250000,22.250000,0
2023-06-29,22.070000,22.879999,21.980000,22.480000,22.480000,0
2023-06-30,22.549999,22.709999,21.900000,21.920000,21.920000,0
2023-07-03,22.200001,22.700001,21.990000,22.570000,22.570000,0
2023-07-04,22.190001,22.440001,21.780001,22.049999,22.049999,0
2023-07-05,21.850000,22.610001,21.809999,22.570000,22.570000,0
2023-07-06,22.600000,23.860001,22.280001,23.430000,23.430000,0
2023-07-07,23.480000,24.040001,23.469999,24.030001,24.030001,0
2023-07-10,24.490000,24.740000,23.889999,24.389999,24.389999,0
2023-07-11,24.200001,24.420000,23.559999,23.820000,23.820000,0
2023-07-12,23.730000,24.209999,23.520000,23.770000,23.770000,0
2023-07-13,23.580000,24.360001,23.379999,23.740000,23.740000,0
2023-07-14,23.200001,23.530001,22.490000,22.920000,22.920000,0
2023-07-18,23.690001,23.889999,23.190001,23.730000,23.730000,0
2023-07-19,24.180000,24.410000,23.510000,23.840000,23.840000,0
2023-07-20,23.969999,24.340000,23.350000,24.309999,24.309999,0
2023-07-21,23.680000,24.150000,23.570000,24.000000,24.000000,0
2023-07-24,25.110001,25.760000,24.120001,25.670000,25.670000,0
2023-07-25,25.750000,26.670000,25.200001,26.530001,26.530001,0
2023-07-26,25.620001,25.889999,24.650000,25.010000,25.010000,0
2023-07-27,25.350000,25.889999,24.959999,25.379999,25.379999,0
2023-07-28,25.450001,26.120001,24.950001,26.040001,26.040001,0
2023-07-31,27.219999,28.040001,26.450001,26.450001,26.450001,0
2023-08-01,25.730000,26.180000,24.980000,25.120001,25.120001,0
2023-08-02,24.690001,25.240000,23.610001,25.240000,25.240000,0
2023-08-03,24.959999,25.330000,24.379999,25.200001,25.200001,0
2023-08-04,25.540001,26.049999,24.730000,25.049999,25.049999,0
2023-08-07,25.209999,25.400000,24.320000,24.620001,24.620001,0
2023-08-08,24.080000,24.559999,23.520000,24.180000,24.180000,0
2023-08-09,24.520000,24.570000,23.559999,23.700001,23.700001,0
2023-08-10,23.889999,24.450001,23.549999,24.020000,24.020000,0
2023-08-11,23.840000,24.180000,23.450001,23.490000,23.490000,0
2023-08-14,25.350000,26.139999,25.120001,25.280001,25.280001,0
2023-08-15,24.969999,25.990000,24.969999,25.780001,25.780001,0
2023-08-16,26.400000,26.469999,25.520000,26.340000,26.340000,0
2023-08-17,27.299999,27.870001,26.280001,27.049999,27.049999,0
2023-08-18,27.450001,28.000000,25.930000,27.969999,27.969999,0
2023-08-21,30.170000,31.680000,27.930000,31.530001,31.530001,0
2023-08-22,28.990000,30.340000,28.450001,29.500000,29.500000,0
2023-08-23,29.280001,29.280001,27.139999,27.700001,27.700001,0
2023-08-24,27.459999,27.469999,26.420000,27.170000,27.170000,0
2023-08-25,28.139999,28.440001,27.590000,28.160000,28.160000,0
2023-08-28,28.990000,29.190001,28.520000,28.549999,28.549999,0
2023-08-29,28.250000,28.330000,27.330000,27.920000,27.920000,0
2023-08-30,27.750000,27.760000,25.730000,26.459999,26.459999,0
2023-08-31,26.040001,26.230000,25.059999,25.530001,25.530001,0
2023-09-04,25.629999,26.420000,25.000000,25.500000,25.500000,0
2023-09-05,25.260000,25.459999,24.580000,25.360001,25.360001,0
2023-09-06,24.700001,24.930000,23.969999,24.610001,24.610001,0
2023-09-07,24.379999,24.790001,23.940001,24.370001,24.370001,0
2023-09-11,24.719999,25.010000,23.650000,24.270000,24.270000,0
2023-09-12,24.100000,24.330000,23.320000,23.350000,23.350000,0
2023-09-13,23.120001,23.160000,22.620001,22.940001,22.940001,0
2023-09-14,22.520000,22.629999,22.200001,22.309999,22.309999,0
2023-09-15,22.250000,22.580000,21.240000,21.240000,21.240000,0
2023-09-18,22.330000,23.200001,22.110001,22.400000,22.400000,0
2023-09-19,22.219999,22.950001,21.879999,22.040001,22.040001,0
2023-09-20,21.900000,21.980000,21.730000,21.860001,21.860001,0
2023-09-21,22.200001,22.200001,22.200001,22.200001,22.200001,0
2023-09-22,22.379999,23.240000,21.879999,22.420000,22.420000,0
2023-09-25,22.320000,23.270000,22.320000,22.920000,22.920000,0
2023-09-26,22.900000,24.250000,22.240000,23.840000,23.840000,0
2023-09-27,23.959999,23.959999,23.180000,23.299999,23.299999,0
2023-09-28,23.260000,24.049999,22.809999,23.860001,23.860001,0
2023-09-29,23.209999,25.780001,23.059999,23.059999,23.059999,0
2023-10-03,25.250000,26.430000,25.250000,26.280001,26.280001,0
2023-10-04,26.340000,27.150000,25.959999,26.559999,26.559999,0
2023-10-05,26.290001,26.309999,25.600000,25.990000,25.990000,0
2023-10-06,25.600000,25.799999,25.330000,25.610001,25.610001,0
2023-10-09,25.959999,26.760000,25.809999,26.400000,26.400000,0
2023-10-10,26.000000,26.030001,25.200001,25.510000,25.510000,0
2023-10-11,25.480000,25.480000,24.070000,24.870001,24.870001,0
2023-10-12,24.709999,24.709999,23.910000,24.170000,24.170000,0
